roomId%0,count
0,5
1,5
10,5
11,11
12,19
13,12
14,55
15,57
16,5
17,5
18,5
19,6
2,13
20,4
21,72
22,21
23,14
24,21
25,13
26,4
27,4
28,21
29,8
3,19
30,13
31,4
32,4
33,10
34,19
35,12
36,38
37,34
38,5
39,4
4,67
40,69
41,46
42,4
43,4
44,60
45,5
46,61
47,5
48,4
49,70
5,5
50,4
51,4
52,4
53,26
54,4
55,55
56,14
57,4
58,20
59,4
6,5
60,4
61,4
62,72
63,24
64,4
65,4
66,4
67,17
68,4
69,22
7,5
70,62
71,68
72,14
73,53
74,20
75,4
76,24
77,4
78,4
79,26
8,59
80,35
81,4
82,66
83,4
84,52
85,4
86,4
87,4
88,16
89,42
9,5
90,15
91,13
92,4
93,21
94,51
95,15
96,22
97,13
98,4
99,13
