sales_static,shortage_static,sales_dynamic,shortage_dynamic
870,72,951,124
799,206,712,236
693,292,619,327
634,368,656,371
560,477,523,341
718,421,635,338
521,465,571,387
601,472,816,237
538,413,803,196
608,414,834,179
668,341,731,169
618,397,889,215
646,392,742,234
578,509,750,197
563,464,807,200
650,399,824,240
575,382,799,221
621,385,824,183
571,356,782,153
592,359,826,224
597,360,815,256
557,366,790,221
683,388,763,215
652,444,887,168
617,430,809,179
604,433,849,216
615,406,793,118
644,382,763,161
560,378,790,227
608,410,744,261
659,381,691,264
604,332,673,325
597,325,675,383
564,472,679,276
570,447,796,295
642,359,838,210
625,394,849,179
640,406,831,171
546,424,859,244
541,411,841,208
572,407,868,221
629,397,817,200
623,279,852,230
654,423,854,209
523,405,812,250
647,400,813,220
661,373,735,179
560,437,799,166
580,361,824,203
615,466,771,173
668,354,824,188
590,389,776,203
641,286,811,177
567,330,798,181
540,524,651,306
577,345,649,261
622,424,754,237
646,341,684,331
623,342,622,318
551,410,798,276
604,318,845,227
636,344,802,205
649,445,830,268
548,429,773,206
602,429,756,187
675,414,807,205
578,384,773,201
571,425,765,154
577,353,782,176
535,442,858,214
665,401,851,185
647,418,882,209
584,359,825,212
643,360,735,210
596,443,744,227
654,396,745,165
621,424,807,219
619,415,776,181
566,379,851,168
606,414,881,226
634,387,789,220
580,435,688,289
619,375,671,364
582,361,666,395
576,453,673,379
526,292,682,242
698,363,774,266
551,370,783,222
649,359,829,182
520,431,871,230
639,388,791,148
656,364,750,165
583,429,844,186
591,446,820,181
452,370,892,194
687,334,779,179
692,396,827,193
598,411,839,231
571,538,737,159
543,437,804,266

