day,time_static,time_dynamic
0,612,612
1,568,568
2,724,724
3,694,694
4,612,612
5,612,612
6,568,784
7,724,914
8,694,816
9,612,962
10,612,802
11,568,786
12,724,834
13,694,814
14,612,784
15,612,876
16,568,818
17,724,870
18,694,790
19,612,832
20,612,860
21,568,762
22,724,864
23,694,754
24,612,858
25,612,822
26,568,784
27,724,870
28,694,594
29,612,832
30,612,768
31,568,746
32,724,860
33,694,868
34,612,956
35,612,870
36,568,716
37,724,772
38,694,796
39,612,848
40,612,838
41,568,730
42,724,842
43,694,826
44,612,862
45,612,912
46,568,766
47,724,790
48,694,852
49,612,842
50,612,820
51,568,744
52,724,804
53,694,762
54,612,696
55,612,822
56,568,618
57,724,778
58,694,848
59,612,788
60,612,776
61,568,720
62,724,870
63,694,762
64,612,982
65,612,802
66,568,790
67,724,972
68,694,838
69,612,902
70,612,770
71,568,792
72,724,842
73,694,800
74,612,832
75,612,810
76,568,824
77,724,738
78,694,800
79,612,858
80,612,730
81,568,730
82,724,728
83,694,858
84,612,840
85,612,710
86,568,696
87,724,848
88,694,780
89,612,834
90,612,810
91,568,788
92,724,812
93,694,836
94,612,932
95,612,810
96,568,808
97,724,846
98,694,814
99,612,838
