day,loss_static,loss_dynamic
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,658,638
62,429,330
63,313,377
64,478,438
65,387,304
66,16,9
67,9,14
68,8,5
69,19,26
70,16,23
71,15,8
72,4,28
73,13,3
74,29,10
75,14,16
76,10,20
77,7,17
78,10,7
79,13,13
80,12,12
81,11,30
82,7,9
83,9,5
84,13,13
85,10,11
86,11,13
87,10,6
88,10,4
89,14,15
90,13,11
91,10,17
92,6,3
93,4,1
94,9,5
95,10,4
96,10,14
97,5,3
98,2,5
99,9,6
