roomId,loss_static,loss_dynamic
0,0,0
1,0,0
2,0,0
3,142,112
4,0,0
5,0,0
6,96,87
7,0,0
8,0,0
9,100,72
10,104,88
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,118,132
19,0,0
20,62,55
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,4
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,148,142
37,0,0
38,0,0
39,51,33
40,88,78
41,0,0
42,0,0
43,0,0
44,0,0
45,81,82
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,104,137
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,79,105
66,0,0
67,115,84
68,151,125
69,0,0
70,0,2
71,0,0
72,0,0
73,106,92
74,0,0
75,0,0
76,102,97
77,113,106
78,0,0
79,0,1
80,0,0
81,0,0
82,73,82
83,0,0
84,0,0
85,0,0
86,0,0
87,68,53
88,121,93
89,0,0
90,0,0
91,0,0
92,110,91
93,0,0
94,61,62
95,0,0
96,0,0
97,134,118
98,66,69
99,0,0
