roomId,sales,shortage
0,1818,266
1,3,0
2,22,0
3,4,0
4,4,0
5,0,0
6,713,35
7,715,65
8,2004,496
9,2352,332
10,83,2
11,60,0
12,497,5
13,20,0
14,2,0
15,716,29
16,2790,834
17,72,0
18,2,0
19,23,0
20,48,0
21,43,0
22,24,0
23,607,19
24,777,63
25,656,28
26,2,0
27,1,0
28,2536,620
29,623,26
30,1,0
31,27,0
32,390,1
33,1864,520
34,2356,388
35,526,21
36,1832,264
37,76,0
38,583,41
39,714,64
40,85,3
41,19,0
42,2638,1102
43,693,22
44,3,0
45,500,15
46,0,0
47,20,0
48,50,0
49,801,42
50,916,55
51,0,0
52,714,44
53,583,20
54,3,0
55,1980,604
56,648,14
57,681,33
58,51,0
59,465,7
60,48,0
61,512,10
62,670,40
63,0,0
64,2112,336
65,23,0
66,1,0
67,42,0
68,2450,610
69,621,22
70,557,10
71,26,0
72,2754,850
73,1137,69
74,612,50
75,0,0
76,20,0
77,28,1
78,666,51
79,2342,694
80,27,0
81,19,0
82,0,0
83,26,0
84,50,0
85,32,0
86,2102,534
87,2942,1118
88,1,0
89,522,40
90,431,9
91,75,0
92,2154,646
93,668,9
94,2166,458
95,0,0
96,21,0
97,2366,658
98,23,0
99,51,0
