roomId,sales,shortage
33,3084,1412
72,2216,612
94,2122,934
64,2542,1142
34,1688,204
45,840,0
61,736,11
87,1758,250
74,541,0
59,1036,10
42,2496,480
92,2192,908
5,53,0
23,721,6
25,769,6
55,2190,350
56,469,0
57,456,0
95,48,0
9,1550,186
18,23,0
41,11,15
14,20,7
46,22,2
47,10,13
2,20,2
70,462,0
80,10,16
53,530,6
62,763,7
15,914,16
88,10,1
31,21,7
58,21,8
98,10,19
22,20,6
75,20,4
96,21,3
19,20,2
49,1028,0
11,21,4
89,714,6
39,740,7
65,48,0
4,20,8
83,20,3
52,866,16
81,30,3
77,29,3
1,46,0
73,864,1
54,40,0
51,72,0
30,47,0
26,55,0
93,468,0
35,704,6
20,5,0
40,44,0
76,42,0
13,26,10
69,506,0
17,16,5
99,3,0
90,674,4
48,68,0
63,26,0
91,3,0
67,93,0
66,2,0
85,2,0
84,1,0
21,1,0
82,1,0
37,1,0
3,54,1
44,24,2
10,24,3
32,520,0
27,47,0
8,1938,506
0,2332,396
79,2164,840
16,2568,1100
68,2324,1108
86,1948,288
97,1882,286
6,1314,9
28,1818,178
12,1195,9
36,2262,682
50,725,5
43,597,10
7,691,13
60,47,0
24,532,0
78,642,0
71,0,0
29,1249,5
38,873,13
roomId,sales,shortage
99,2758,814
58,2470,682
55,3112,2144
30,2964,1244
73,2046,526
32,1794,190
97,942,13
42,2738,1278
69,1874,530
18,2236,888
20,1940,576
84,2326,986
19,667,1
3,796,9
98,661,2
54,608,13
7,1900,472
43,608,1
40,1500,68
29,52,0
90,72,0
46,29,3
78,19,0
85,530,0
23,19,0
44,49,0
65,73,0
38,27,0
11,941,5
94,741,0
51,617,5
89,27,0
9,56,0
27,634,2
14,714,9
52,49,0
77,27,0
1,467,0
16,17,2
39,26,2
64,24,0
88,74,0
6,14,0
60,48,0
56,659,5
4,49,0
74,31,0
59,829,10
34,2168,616
25,34,2
13,47,0
24,5,0
45,3,0
5,21,0
70,3,0
37,3,0
33,2,0
92,2,0
21,55,0
53,34,0
31,2,0
82,2,0
48,2,0
26,22,0
72,52,0
41,1,0
15,83,0
76,21,0
35,1,0
75,30,2
57,1,0
22,1,0
67,507,0
8,968,11
61,538,0
80,895,9
66,18,0
0,464,0
2,19,0
83,54,0
96,28,0
49,645,9
95,2652,760
28,2046,278
63,59,0
50,0,0
86,0,0
87,2018,266
10,2066,306
79,1988,912
36,2914,1082
12,0,0
68,617,10
81,1732,176
17,0,0
91,570,0
62,0,0
71,477,0
93,501,0
47,756,5
roomId,sales,shortage
0,845,43
1,438,8
2,52,0
3,489,21
4,2,0
5,27,0
6,55,0
7,2164,700
8,612,22
9,1,0
10,1634,254
11,645,24
12,47,0
13,1,0
14,509,36
15,41,0
16,54,0
17,53,0
18,1658,382
19,492,8
20,3052,1140
21,21,0
22,2,0
23,32,0
24,26,0
25,21,0
26,79,2
27,428,13
28,1954,462
29,23,0
30,1838,442
31,0,0
32,2284,596
33,2,0
34,2996,884
35,24,0
36,2028,516
37,82,0
38,18,1
39,2,0
40,1688,324
41,50,2
42,2420,972
43,496,13
44,48,1
45,0,0
46,77,0
47,474,27
48,51,4
49,468,34
50,30,0
51,581,35
52,2,0
53,27,0
54,575,51
55,2578,678
56,618,25
57,28,0
58,2314,1014
59,575,14
60,106,1
61,668,37
62,27,0
63,0,0
64,25,0
65,23,0
66,4,0
67,681,41
68,528,21
69,3294,1278
