simulatorType,day,roomId,shortage
static,0,0,0
static,0,1,0
static,0,2,0
static,0,3,0
static,0,4,0
static,0,5,0
static,0,6,0
static,0,7,0
static,0,8,0
static,0,9,0
static,0,10,0
static,0,11,0
static,0,12,2
static,0,13,0
static,0,14,0
static,0,15,0
static,0,16,0
static,0,17,0
static,0,18,0
static,0,19,0
static,0,20,0
static,0,21,0
static,0,22,0
static,0,23,0
static,0,24,0
static,0,25,3
static,0,26,0
static,0,27,0
static,0,28,0
static,0,29,0
static,0,30,0
static,0,31,0
static,0,32,0
static,0,33,0
static,0,34,0
static,0,35,0
static,0,36,0
static,0,37,0
static,0,38,0
static,0,39,0
static,0,40,0
static,0,41,0
static,0,42,0
static,0,43,0
static,0,44,0
static,0,45,0
static,0,46,0
static,0,47,0
static,0,48,0
static,0,49,0
static,0,50,0
static,0,51,0
static,0,52,0
static,0,53,0
static,0,54,1
static,0,55,0
static,0,56,0
static,0,57,0
static,0,58,0
static,0,59,0
static,0,60,0
static,0,61,0
static,0,62,0
static,0,63,0
static,0,64,0
static,0,65,0
static,0,66,0
static,0,67,0
static,0,68,0
static,0,69,0
static,0,70,0
static,0,71,0
static,0,72,0
static,0,73,0
static,0,74,0
static,0,75,0
static,0,76,0
static,0,77,0
static,0,78,0
static,0,79,0
static,0,80,0
static,0,81,0
static,0,82,0
static,0,83,0
static,0,84,0
static,0,85,0
static,0,86,2
static,0,87,0
static,0,88,0
static,0,89,0
static,0,90,0
static,0,91,0
static,0,92,0
static,0,93,0
static,0,94,0
static,0,95,0
static,0,96,0
static,0,97,0
static,0,98,0
static,0,99,0
dynamic,0,0,0
dynamic,0,1,0
dynamic,0,2,0
dynamic,0,3,0
dynamic,0,4,0
dynamic,0,5,0
dynamic,0,6,0
dynamic,0,7,0
dynamic,0,8,0
dynamic,0,9,0
dynamic,0,10,0
dynamic,0,11,0
dynamic,0,12,0
dynamic,0,13,0
dynamic,0,14,0
dynamic,0,15,0
dynamic,0,16,0
dynamic,0,17,0
dynamic,0,18,0
dynamic,0,19,0
dynamic,0,20,0
dynamic,0,21,0
dynamic,0,22,0
dynamic,0,23,0
dynamic,0,24,0
dynamic,0,25,0
dynamic,0,26,0
dynamic,0,27,0
dynamic,0,28,0
dynamic,0,29,0
dynamic,0,30,0
dynamic,0,31,1
dynamic,0,32,0
dynamic,0,33,0
dynamic,0,34,0
dynamic,0,35,0
dynamic,0,36,0
dynamic,0,37,0
dynamic,0,38,0
dynamic,0,39,0
dynamic,0,40,0
dynamic,0,41,0
dynamic,0,42,0
dynamic,0,43,0
dynamic,0,44,0
dynamic,0,45,0
dynamic,0,46,0
dynamic,0,47,0
dynamic,0,48,0
dynamic,0,49,0
dynamic,0,50,0
dynamic,0,51,0
dynamic,0,52,0
dynamic,0,53,0
dynamic,0,54,1
dynamic,0,55,0
dynamic,0,56,0
dynamic,0,57,0
dynamic,0,58,0
dynamic,0,59,0
dynamic,0,60,0
dynamic,0,61,0
dynamic,0,62,0
dynamic,0,63,0
dynamic,0,64,0
dynamic,0,65,0
dynamic,0,66,0
dynamic,0,67,0
dynamic,0,68,0
dynamic,0,69,1
dynamic,0,70,0
dynamic,0,71,0
dynamic,0,72,0
dynamic,0,73,0
dynamic,0,74,0
dynamic,0,75,0
dynamic,0,76,0
dynamic,0,77,0
dynamic,0,78,0
dynamic,0,79,0
dynamic,0,80,0
dynamic,0,81,0
dynamic,0,82,0
dynamic,0,83,0
dynamic,0,84,0
dynamic,0,85,0
dynamic,0,86,0
dynamic,0,87,0
dynamic,0,88,0
dynamic,0,89,2
dynamic,0,90,0
dynamic,0,91,0
dynamic,0,92,0
dynamic,0,93,0
dynamic,0,94,0
dynamic,0,95,0
dynamic,0,96,0
dynamic,0,97,0
dynamic,0,98,0
dynamic,0,99,0
static,1,0,0
static,1,1,0
static,1,2,0
