sales_static,shortage_static,sales_dynamic,shortage_dynamic
911,3,943,14
858,20,890,40
854,39,896,53
819,47,877,59
832,65,849,98
812,67,840,90
779,78,823,88
853,53,848,86
841,60,833,87
822,73,866,92
871,81,828,63
800,73,829,80
875,63,814,79
843,78,834,65
763,113,836,92
810,103,847,107
807,77,814,86
845,93,830,69
822,71,834,78
892,88,781,67
821,86,828,108
818,76,802,81
811,79,874,87
833,78,855,96
801,62,855,122
791,69,813,105
828,80,851,114
824,56,820,91
897,52,793,96
820,86,802,94
807,81,805,100
819,69,869,74
855,97,823,114
873,63,826,117
842,79,805,108
792,102,786,99
855,92,872,86
845,65,857,87
821,64,825,107
824,70,806,107
836,58,772,100
806,95,803,105
804,81,815,94
866,67,866,66
842,80,802,84
849,85,789,100
871,87,816,91
833,79,845,101
873,82,877,108
826,97,797,129
834,86,826,99
866,59,838,113
811,85,861,125
833,55,794,99
796,82,814,99
817,83,823,85
806,90,822,89
842,70,845,120
831,70,810,113
815,54,820,127
817,81,813,95
878,76,797,95
881,55,831,115
824,76,870,82
783,74,813,106
786,75,845,89
802,94,794,107
841,66,827,91
809,54,798,105
862,74,798,114
824,94,832,80
866,81,792,97
815,86,848,79
883,80,812,102
862,89,780,136
829,86,826,96
820,94,821,76
790,85,876,84
837,77,827,63
854,93,865,97
865,88,839,99
807,67,841,70
818,78,809,88
813,86,800,84
855,108,822,87
837,66,859,60
868,63,827,67
845,63,827,68
895,72,835,63
813,96,840,97
789,81,838,94
824,72,808,106
836,62,852,97
865,69,796,90
820,71,796,89
854,69,814,92
880,83,864,93
875,80,851,75
851,62,837,84
848,115,861,85

