sales,shortage
788,50
688,216
622,197
583,243
542,265
602,297
553,324
620,190
717,164
681,179
792,103
654,125
716,145
761,68
748,125
709,121
746,140
709,151
768,147
683,175
710,93
694,182
661,134
667,111
751,131
726,123
731,160
738,127
765,121
789,116
715,105
733,167
716,149
772,131
684,147
718,197
785,162
673,133
718,140
784,150
718,143
666,159
696,140
731,99
772,144
773,103
740,156
727,149
772,150
734,117
741,110
719,198
739,160
797,119
645,143
778,165
700,196
819,169
712,182
685,124
686,163
756,165
641,166
680,93
776,150
630,156
673,186
690,144
773,150
676,98
769,163
690,184
715,193
776,112
738,114
696,168
723,166
747,210
783,101
687,147
698,151
676,136
678,175
757,113
707,145
755,197
701,135
686,170
720,105
702,174
719,189
770,163
757,179
745,144
747,141
658,163
720,125
718,169
806,141
722,139

sales,shortage
838,38
669,164
604,294
568,286
541,343
567,254
499,301
745,165
755,167
694,149
656,151
721,149
841,189
752,158
737,115
687,241
740,149
700,125
759,118
657,134
728,166
721,175
679,171
773,115
742,173
708,188
746,145
658,178
795,131
685,149
703,245
686,103
726,138
747,139
762,111
652,146
719,153
753,135
719,150
799,165
720,191
699,164
745,113
714,122
715,150
681,160
727,114
666,195
704,89
772,116
694,144
727,198
698,125
765,151
765,149
643,133
655,132
668,149
814,98
771,109
748,152
743,179
760,179
709,144
773,142
690,148
766,147
641,141
678,158
675,153
652,195
774,179
715,143
700,140
773,152
692,152
647,182
690,157
684,79
699,98
602,144
773,166
700,143
774,156
688,128
746,150
710,167
777,178
689,121
706,159
742,230
730,182
720,164
721,163
727,168
745,165
731,165
681,126
780,115
662,198

sales,shortage
882,84
772,212
600,319
540,340
639,293
629,335
598,317
669,187
716,128
719,137
755,168
789,119
789,168
807,104
810,114
815,162
754,164
743,152
755,112
781,130
797,201
712,158
807,131
748,96
781,190
796,161
798,141
675,184
776,116
862,137
758,162
736,188
625,170
737,96
841,121
787,141
668,138
795,183
812,108
834,158
778,184
772,178
682,207
700,106
787,160
707,183
732,154
802,140
721,120
826,141
730,145
829,165
707,168
810,189
777,147
789,210
713,195
796,217
723,108
800,196
814,228
755,180
736,122
794,167
718,188
759,183
824,172
807,176
779,151
738,209
749,199
732,268
709,213
786,134
794,178
685,192
768,174
678,207
767,105
792,148
714,189
703,194
726,191
786,111
712,170
695,192
772,208
