sales,shortage
765,60
672,258
493,224
489,332
530,287
531,242
530,312
517,312
466,306
422,288
565,327
477,310
505,232
522,312
520,339
468,292
494,229
515,289
472,226
520,254
544,323
491,302
539,255
472,253
519,297
482,335
508,272
566,342
503,312
447,271
501,241
549,279
517,343
530,381
454,320
475,270
558,308
545,283
481,320
500,406
559,284
452,290
472,314
449,281
493,291
541,252
534,332
530,303
471,303
463,289
537,271
540,248
476,263
500,286
537,295
473,306
488,279
514,338
473,269
511,361
452,337
505,268
522,279
482,285
619,315
465,280
445,271
543,241
521,357
480,302
480,323
502,331
465,244
522,214
509,252
475,262
580,275
471,257
513,337
493,319
475,243
474,331
514,283
512,355
499,299
499,293
504,313
484,250
440,380
481,273
476,271
475,339
527,268
481,364
506,248
492,236
518,285
516,348
507,279
494,318

