day,time_static,time_dynamic
0,134,134
1,132,132
2,138,138
3,140,140
4,162,162
5,134,134
6,132,132
7,138,152
8,140,158
9,162,156
10,134,126
11,132,154
12,138,144
13,140,146
14,162,162
15,134,148
16,132,138
17,138,148
18,140,148
19,162,150
20,134,134
21,132,128
22,138,136
23,140,156
24,162,184
25,134,140
26,132,124
27,138,156
28,140,140
29,162,144
30,134,152
31,132,118
32,138,154
33,140,186
34,162,146
35,134,158
36,132,112
37,138,142
38,140,172
39,162,142
40,134,174
41,132,118
42,138,146
43,140,164
44,162,150
45,134,164
46,132,128
47,138,152
48,140,192
49,162,142
50,134,182
51,132,136
52,138,126
53,140,164
54,162,144
55,134,158
56,132,154
57,138,152
58,140,130
59,162,172
60,134,164
61,132,122
62,138,148
63,140,178
64,162,132
65,134,176
66,132,126
67,138,160
68,140,150
69,162,158
70,134,160
71,132,134
72,138,170
73,140,150
74,162,166
75,134,166
76,132,142
77,138,156
78,140,156
79,162,156
80,134,154
81,132,124
82,138,162
83,140,160
84,162,144
85,134,162
86,132,134
87,138,152
88,140,164
89,162,146
90,134,152
91,132,142
92,138,142
93,140,182
94,162,158
95,134,178
96,132,110
97,138,152
98,140,166
99,162,156
